x_over_L,x,point,y,z,ux,uy,uz
0.9,900.0,center,0.0,0.0,-0.0013204608335824657,-0.052127574967405665,0.0007616900759379535
0.9,900.0,plus,-24.450000000000003,54.75,-0.001279361750867756,0.027580199139234474,0.03717836771003318
0.9,900.0,minus,9.125,-36.5,-0.009032191725914709,-0.1056205930422666,-0.013114755226583343
0.9,900.0,bottom_mid,0.0,-36.5,-0.001564757494333238,-0.1055119043819458,0.0006834159073956423
0.95,950.0,center,0.0,0.0,-0.0013527141198270106,-0.026961876161835676,0.0003872540514459016
0.95,950.0,plus,-23.975,53.625,-0.0015508749735365446,0.014204614837263332,0.019297207654375807
0.95,950.0,minus,8.9375,-35.75,-0.009706647261695416,-0.05464450493330515,-0.0068245426593172955
0.95,950.0,bottom_mid,0.0,-35.75,-0.001604193541319,-0.05459113115990715,0.00034722151588313866
1.0,1000.0,center,0.0,0.0,-0.0013639417730804209,0.0,0.0
1.0,1000.0,plus,-23.5,52.5,-0.0017772465482080717,0.0,0.0
1.0,1000.0,minus,8.75,-35.0,-0.009928705528867598,0.0,0.0
1.0,1000.0,bottom_mid,0.0,-35.0,-0.0016141843197653215,0.0,0.0
