node_id,x,y,z,ux,uy,uz
62460,616.6666666666666,10.1875,-33.958333333333336,-0.0020471687917250976,-0.24878106488302834,-0.03309699941775858
62461,616.6666666666666,10.1875,-31.694444444444443,-0.0020321622466772126,-0.24102628329046935,-0.03299321914251661
62462,616.6666666666666,10.1875,-29.430555555555557,-0.0020136178797967984,-0.2332870156068496,-0.03290560543696913
62463,616.6666666666666,10.1875,-27.166666666666668,-0.001992594566356561,-0.2255600501138221,-0.03282784656193952
62464,616.6666666666666,10.1875,-24.90277777777778,-0.001969812439665846,-0.21784389139418178,-0.03275673823153172
62465,616.6666666666666,10.1875,-22.63888888888889,-0.0019457732368431634,-0.21013773803524555,-0.03269056037826664
62466,616.6666666666666,10.1875,-20.375,-0.0019208279246524492,-0.20244105052742334,-0.03262838523135894
62467,616.6666666666666,10.1875,-18.11111111111111,-0.001895223041328081,-0.1947533589687196,-0.032569726955233705
62468,616.6666666666666,10.1875,-15.847222222222221,-0.0018691322448717103,-0.18707418009753216,-0.03251434888490664
62469,616.6666666666666,10.1875,-13.583333333333336,-0.001842678210372726,-0.17940298647968658,-0.03246215163386137
62470,616.6666666666666,10.1875,-11.319444444444446,-0.0018159478696306113,-0.1717392011759713,-0.032413107474958895
62471,616.6666666666666,10.1875,-9.055555555555557,-0.001789003027571107,-0.16408220362322049,-0.03236722248916295
62472,616.6666666666666,10.1875,-6.791666666666664,-0.0017618877433235867,-0.15643133928977537,-0.032324515694501274
62473,616.6666666666666,10.1875,-4.527777777777779,-0.0017346334367844937,-0.1487859293809404,-0.032285008414430987
62474,616.6666666666666,10.1875,-2.263888888888893,-0.001707262383857729,-0.14114527901551097,-0.03224871960937813
62475,616.6666666666666,10.1875,0.0,-0.0016797900532867476,-0.13350868345417402,-0.032215664506370104
62476,616.6666666666666,10.1875,2.2638888888888857,-0.0016522265869296387,-0.1258754325188988,-0.032185854951575395
62477,616.6666666666666,10.1875,4.527777777777779,-0.0016245776141573412,-0.11824481353416162,-0.03215930064560107
62478,616.6666666666666,10.1875,6.791666666666664,-0.0015968445054323059,-0.11061611309634056,-0.03213601090871994
62479,616.6666666666666,10.1875,9.055555555555557,-0.001569024098848081,-0.10298861782095999,-0.03211599693602191
62480,616.6666666666666,10.1875,11.319444444444443,-0.0015411078669210672,-0.09536161396518203,-0.0320992746838435
62481,616.6666666666666,10.1875,13.583333333333329,-0.0015130804199404502,-0.0877343854817101,-0.032085868585107515
62482,616.6666666666666,10.1875,15.847222222222221,-0.0014849171559499917,-0.08010620963048787,-0.03207581618078872
62483,616.6666666666666,10.1875,18.111111111111107,-0.0014565807505113925,-0.07247634878541714,-0.03206917337562024
62484,616.6666666666666,10.1875,20.375,-0.001428016006384218,-0.06484403664820508,-0.03206601921145396
62485,616.6666666666666,10.1875,22.638888888888886,-0.0013991422930760963,-0.05720845700298286,-0.03206645762170682
62486,616.6666666666666,10.1875,24.90277777777777,-0.0013698423080033988,-0.04956871405338539,-0.032070611489716926
62487,616.6666666666666,10.1875,27.16666666666667,-0.0013399445468508808,-0.04192379564852693,-0.03207860205149957
62488,616.6666666666666,10.1875,29.430555555555557,-0.0013091954227594906,-0.034272536691424806,-0.032090504730650296
62489,616.6666666666666,10.1875,31.694444444444443,-0.0012771997232114201,-0.026613588522300585,-0.03210627772894161
62490,616.6666666666666,10.1875,33.95833333333333,-0.001243346068262301,-0.018945433545005663,-0.03212565365805052
62491,616.6666666666666,10.1875,36.222222222222214,-0.0012061885275262672,-0.011266260137350034,-0.03214808157415455
62492,616.6666666666666,10.1875,38.486111111111114,-0.0011645614432096146,-0.003574324733579116,-0.03217234294874299
62493,616.6666666666666,10.1875,40.75,-0.0010900596662302869,0.004138326222966294,-0.032196382951537685
62494,616.6666666666666,-27.141666666666666,40.75,-8.582304194778733e-05,0.003750292407261985,0.09573619005065251
62495,616.6666666666666,-25.728819444444444,40.75,-0.00013897432230444617,0.00375708720767027,0.09086503232418437
62496,616.6666666666666,-27.141666666666666,43.013888888888886,-2.680018768236168e-05,0.011555580248201858,0.09574655827119762
62497,616.6666666666666,-25.728819444444444,43.013888888888886,-7.908668474339184e-05,0.011561671813768978,0.0908762252904188
62498,616.6666666666666,-27.141666666666666,45.27777777777778,1.8575274249007904e-05,0.019355591572016256,0.09575768855908577
62499,616.6666666666666,-25.728819444444444,45.27777777777778,-3.1066878839804496e-05,0.019359905780381548,0.09088928618961457
62500,616.6666666666666,-27.141666666666666,47.541666666666664,5.6512448614943706e-05,0.027149053782320586,0.09577475991601259
62501,616.6666666666666,-25.728819444444444,47.541666666666664,9.678983928354675e-06,0.027150492003331948,0.09090780890970669
62502,616.6666666666666,-27.141666666666666,49.80555555555556,9.044052041444856e-05,0.03493858487904341,0.09580292761500382
62503,616.6666666666666,-25.728819444444444,49.80555555555556,4.648732875405131e-05,0.03493618425487374,0.09093510137736847
62504,616.6666666666666,-27.141666666666666,52.06944444444444,0.0001231699248363707,0.042729164531800874,0.09584699925678364
62505,616.6666666666666,-25.728819444444444,52.06944444444444,8.206423478852882e-05,0.042721939171665384,0.09097425314710865
62506,616.6666666666666,-27.141666666666666,54.33333333333333,0.00015729619449624308,0.050527850696101335,0.09591287547668718
62507,616.6666666666666,-25.728819444444444,54.33333333333333,0.00011887573236030356,0.05051458733624602,0.09102831007062147
62508,616.6666666666666,-27.141666666666666,56.59722222222222,0.00019535817104958912,0.05834590772040645,0.09601122964589412
62509,616.6666666666666,-25.728819444444444,56.59722222222222,0.000159512163937396,0.05832405917842552,0.09110115045201955
62510,616.6666666666666,-27.141666666666666,58.861111111111114,0.0002414372876294149,0.06620425189734065,0.09617693541741211
62511,616.6666666666666,-25.728819444444444,58.861111111111114,0.0002056732485157685,0.06617929492202308,0.09118133184076249
62512,616.6666666666666,-27.141666666666666,61.125,0.00029296568105577743,0.07432091885100234,0.09651946252513383
62513,616.6666666666666,-25.728819444444444,61.125,0.0002613636542845258,0.0742355372823272,0.09121990775039097
62514,616.6666666666666,-24.31597222222222,40.75,-0.00018533576702136923,0.003763499439821249,0.08599314649024989
62515,616.6666666666666,-24.31597222222222,43.013888888888886,-0.00012694212064785174,0.011568230593610026,0.08600380466923122
62516,616.6666666666666,-24.31597222222222,45.27777777777778,-7.806585411973492e-05,0.01936461844203513,0.08601608223777904
62517,616.6666666666666,-24.31597222222222,47.541666666666664,-3.57535354462479e-05,0.027152596319140975,0.08603305760723852
62518,616.6666666666666,-24.31597222222222,49.80555555555556,2.859164158471769e-06,0.03493524340679502,0.08605656306261963
62519,616.6666666666666,-24.31597222222222,52.06944444444444,4.026096932994168e-05,0.04271778787924805,0.08608759154856206
62520,616.6666666666666,-24.31597222222222,54.33333333333333,7.874434032791725e-05,0.05050769601258111,0.08612567104485797
62521,616.6666666666666,-24.31597222222222,56.59722222222222,0.00012040396347814673,0.05831748732352775,0.0861645813913375
62522,616.6666666666666,-24.31597222222222,58.861111111111114,0.00016718135429681473,0.06619018255016292,0.08618336287419555
62523,616.6666666666666,-24.31597222222222,61.125,0.00022334835179981725,0.07416817658793741,0.08620988020977392
62524,616.6666666666666,-22.903125,40.75,-0.00022715024456954947,0.0037703156657637343,0.08111919110622103
