model_id,model_label,n_elems,n_section_calls,z_node,N_node,T_node,MB_node,MT_node
model_5,Model 5 - uniform 24 (24 elements),24,73,7.665000000000e+01,5.000000000000e+06,1.112399999999e+06,4.660389999993e+06,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,8.030000000000e+01,5.000000000000e+06,1.141599999999e+06,5.468399999975e+05,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,8.395000000000e+01,5.000000000000e+06,1.170800000000e+06,3.673289999995e+06,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,8.760000000000e+01,5.000000000000e+06,1.200000000002e+06,8.000000000001e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,0.000000000000e+00,5.000000000000e+06,4.991999999900e+05,6.642495999940e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,2.737500000000e+00,5.000000000000e+06,5.210999999900e+05,6.502842437442e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,5.475000000000e+00,5.000000000000e+06,5.429999999901e+05,6.357193749945e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,8.212500000000e+00,5.000000000000e+06,5.648999999900e+05,6.205549937448e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,1.095000000000e+01,5.000000000000e+06,5.867999999900e+05,6.047910999950e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,1.368750000000e+01,5.000000000000e+06,6.086999999897e+05,5.884276937453e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,1.642500000000e+01,5.000000000000e+06,6.305999999892e+05,5.714647749956e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,1.916250000000e+01,5.000000000000e+06,6.524999999899e+05,5.539023437459e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,2.190000000000e+01,5.000000000000e+06,6.743999999906e+05,5.357403999961e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,2.463750000000e+01,5.000000000000e+06,6.962999999908e+05,5.169789437464e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,2.737500000000e+01,5.000000000000e+06,7.181999999914e+05,4.976179749967e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,3.011250000000e+01,5.000000000000e+06,7.400999999932e+05,4.776574937469e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,3.285000000000e+01,5.000000000000e+06,7.619999999933e+05,4.570974999971e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,3.558750000000e+01,5.000000000000e+06,7.838999999916e+05,4.359379937473e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,3.832500000000e+01,5.000000000000e+06,8.057999999897e+05,4.141789749976e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,4.106250000000e+01,5.000000000000e+06,8.276999999890e+05,3.918204437479e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,4.380000000000e+01,5.000000000000e+06,8.495999999851e+05,3.688623999982e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,4.653750000000e+01,5.000000000000e+06,8.714999999869e+05,3.453048437487e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,4.927500000000e+01,5.000000000000e+06,8.933999999923e+05,3.211477749989e+07,3.000000000000e+06
