CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.65     6.500000000000e+02  1.006250000000e+01  -4.025000000000e+01  minus         -2.048164484166e-03  -2.331982447751e-01  -3.081238068747e-02
 0.65     6.500000000000e+02  0.000000000000e+00  -4.025000000000e+01  bottom_mid    -1.631460794642e-04  -2.326642831535e-01  8.351361354617e-05
 0.70     7.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.999599826377e-04  -1.060802455810e-01  2.548429600893e-04
 0.70     7.000000000000e+02  -2.635000000000e+01  5.925000000000e+01  plus          5.627968394950e-04  5.618147043599e-02  7.385776205079e-02
 0.70     7.000000000000e+02  9.875000000000e+00  -3.950000000000e+01  minus         -3.651197253285e-03  -2.154896411766e-01  -2.843893190392e-02
 0.70     7.000000000000e+02  0.000000000000e+00  -3.950000000000e+01  bottom_mid    -2.035194032117e-04  -2.150082769193e-01  6.441364989797e-05
 0.75     7.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -2.101096411025e-04  -9.275545629237e-02  1.970513179685e-04
 0.75     7.500000000000e+02  -2.587500000000e+01  5.812500000000e+01  plus          2.566794191755e-04  4.867856891004e-02  6.444504483764e-02
 0.75     7.500000000000e+02  9.687500000000e+00  -3.875000000000e+01  minus         -5.274308646305e-03  -1.879223799187e-01  -2.472879965574e-02
 0.75     7.500000000000e+02  0.000000000000e+00  -3.875000000000e+01  bottom_mid    -2.272530009539e-04  -1.875296286866e-01  3.942551146046e-05
 0.80     8.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -2.053955084875e-04  -7.476857384029e-02  1.346366141206e-04
 0.80     8.000000000000e+02  -2.540000000000e+01  5.700000000000e+01  plus          -1.262882284119e-05  3.921153277460e-02  5.218261703536e-02
 0.80     8.000000000000e+02  9.500000000000e+00  -3.800000000000e+01  minus         -6.679085754774e-03  -1.509958994619e-01  -1.979189849107e-02
 0.80     8.000000000000e+02  0.000000000000e+00  -3.800000000000e+01  bottom_mid    -2.284379934092e-04  -1.506940488653e-01  1.291600763566e-05
 0.85     8.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.834638670744e-04  -5.316187113056e-02  7.495103795918e-05
 0.85     8.500000000000e+02  -2.492500000000e+01  5.587500000000e+01  plus          -1.679071118629e-04  2.844511175495e-02  3.781182767025e-02
 0.85     8.500000000000e+02  9.312500000000e+00  -3.725000000000e+01  minus         -7.481265950366e-03  -1.070375618725e-01  -1.397548366985e-02
 0.85     8.500000000000e+02  0.000000000000e+00  -3.725000000000e+01  bottom_mid    -2.040138183916e-04  -1.068059366617e-01  -9.959684156274e-06
 0.90     9.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.424981544460e-04  -3.030390093261e-02  2.644749315550e-05
 0.90     9.000000000000e+02  -2.445000000000e+01  5.475000000000e+01  plus          -1.981155798305e-04  1.737981556677e-02  2.270289741709e-02
 0.90     9.000000000000e+02  9.125000000000e+00  -3.650000000000e+01  minus         -7.135201932032e-03  -6.094948303169e-02  -7.941486496237e-03
 0.90     9.000000000000e+02  0.000000000000e+00  -3.650000000000e+01  bottom_mid    -1.540928911953e-04  -6.076957583159e-02  -2.389048432322e-05
 0.95     9.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -8.140203897256e-05  -1.038789797235e-02  -1.690200292614e-06
 0.95     9.500000000000e+02  -2.397500000000e+01  5.362500000000e+01  plus          -1.417690801003e-04  7.352173562224e-03  9.035259498622e-03
 0.95     9.500000000000e+02  8.937500000000e+00  -3.575000000000e+01  minus         -4.931007324255e-03  -2.105036576787e-02  -2.758529740463e-03
 0.95     9.500000000000e+02  0.000000000000e+00  -3.575000000000e+01  bottom_mid    -8.275346715889e-05  -2.093217264322e-02  -2.297070544640e-05
 1.00     1.000000000000e+03  0.000000000000e+00  0.000000000000e+00  center        1.766337274512e-19  -3.924755267500e-16  1.241488960271e-18
 1.00     1.000000000000e+03  -2.350000000000e+01  5.250000000000e+01  plus          6.541282162959e-18  1.021141244661e-16  2.204060150487e-16
 1.00     1.000000000000e+03  8.750000000000e+00  -3.500000000000e+01  minus         6.900364469234e-18  -7.286327972992e-16  -8.334172060733e-17
 1.00     1.000000000000e+03  0.000000000000e+00  -3.500000000000e+01  bottom_mid    -7.693670229576e-21  -7.258777550030e-16  4.741838659230e-19
