idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
22,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1221875,0.66475,0.121875,0.66225,0.1340625,0.6659999999999999,0.110625,0.6659999999999999,180524.25597156244,37512.31631152953
23,0,flange:flange,0.4166666666666667,4.394531249999909e-05,0.13375,0.6635,0.1453125,0.66225,0.1340625,0.6659999999999999,0.121875,0.66225,172334.00468201842,64130.633002550654
24,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0865625,0.6609999999999999,0.08625,0.6585,0.0984375,0.66225,0.075,0.66225,210793.9515883367,114327.03215212251
25,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.09875,0.66475,0.0984375,0.66225,0.110625,0.6659999999999999,0.0871875,0.6659999999999999,198092.54209546838,79674.76970563954
26,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.07531249999999999,0.66475,0.075,0.66225,0.0871875,0.6659999999999999,0.06375,0.6659999999999999,197092.49962840075,162308.71705403551
27,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.086875,0.6635,0.0984375,0.66225,0.0871875,0.6659999999999999,0.075,0.66225,210793.9515883367,117778.99818425998
28,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1215625,0.65975,0.133125,0.6585,0.121875,0.66225,0.1096875,0.6585,188197.2544296598,72558.89913349102
29,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1103125,0.6635,0.121875,0.66225,0.110625,0.6659999999999999,0.0984375,0.66225,196405.75729905162,85156.82029400021
30,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.098125,0.65975,0.1096875,0.6585,0.0984375,0.66225,0.08625,0.6585,214838.94110454712,101180.81622446577
31,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.10999999999999999,0.661,0.121875,0.66225,0.0984375,0.66225,0.1096875,0.6585,196405.75729905162,45881.26480796685
32,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.015312500000000001,0.6535,0.015,0.651,0.0271875,0.6547499999999999,0.00375,0.6547499999999999,71443.34837545641,376089.7517893836
33,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.027499999999999997,0.65725,0.0271875,0.6547499999999999,0.039375,0.6585,0.0159375,0.6585,111783.99382223997,354776.9982748727
34,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0040625,0.65725,0.00375,0.6547499999999999,0.0159375,0.6585,-0.0075,0.6585,34793.60766139192,352866.7192552301
35,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.015625,0.656,0.0271875,0.6547499999999999,0.0159375,0.6585,0.00375,0.6547499999999999,71443.34837545641,233755.06193452826
36,0,flange:flange,0.4166666666666667,4.394531250000036e-05,0.0396875,0.6609999999999999,0.039375,0.6585,0.0515625,0.66225,0.028125,0.66225,143872.26828498766,310498.38345135876
