element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d
6877,1,web:web,,90,0.85,0.3541666666666667,0.2,8,25,22,-0.045,0.56975,3.0,0.000794999999999999,-0.06,-0.03,0.5565,0.583,1409.1507177668973,215687.64884577316,1733756.3358433486,-6350.605444493393,302531.83923892304,3821.6807764582336
6878,1,web:web,,90,0.85,0.3541666666666667,0.2,9,25,22,-0.015,0.56975,3.0,0.000794999999999999,-0.03,0.0,0.5565,0.583,2625.9057896531885,168757.67383452854,1676258.6592890325,-12309.10915486763,383490.6401925124,12193.2341687195
6879,1,web:web,,90,0.85,0.3541666666666667,0.2,10,25,22,0.015,0.56975,3.0,0.000794999999999999,0.0,0.03,0.5565,0.583,4141.657412039116,125089.78267399102,1619074.8782088005,-8797.979002465805,470674.8746143344,15365.29804671742
6880,1,web:web,,90,0.85,0.3541666666666667,0.2,11,25,22,0.045,0.56975,3.0,0.000794999999999999,0.03,0.06,0.5565,0.583,776.5018600184121,85525.86604688902,1561769.9689614882,-2455.3197818522654,557490.9561082125,7545.375030153742
6881,1,web:web,,90,0.85,0.3541666666666667,0.2,8,26,22,-0.045,0.59625,3.0,0.000794999999999999,-0.06,-0.03,0.583,0.6094999999999999,1491.5720017901622,230637.21925230033,1937798.76536345,-9460.878562624257,291520.47454050684,4045.391606381163
6882,1,web:web,,90,0.85,0.3541666666666667,0.2,9,26,22,-0.015,0.59625,3.0,0.000794999999999999,-0.03,0.0,0.583,0.6094999999999999,7660.100145586417,172870.2570436789,1878086.9592158482,-13271.24085832884,367901.14863009506,17245.318939616904
6883,1,web:web,,90,0.85,0.3541666666666667,0.2,10,26,22,0.015,0.59625,3.0,0.000794999999999999,0.0,0.03,0.583,0.6094999999999999,1224.8741120481282,124362.17123467813,1816392.9284587959,-6084.340337301294,467145.1965901535,41020.01288295165
6884,1,web:web,,90,0.85,0.3541666666666667,0.2,11,26,22,0.045,0.59625,3.0,0.000794999999999999,0.03,0.06,0.583,0.6094999999999999,2806.413721013756,90534.42131880973,1758830.1613702814,148.23522190501293,575011.6135399789,19622.14455190053
6885,1,web:web,,90,0.85,0.3541666666666667,0.2,8,27,22,-0.045,0.6227499999999999,3.0,0.0007950000000000023,-0.06,-0.03,0.6094999999999999,0.636,21639.77805557713,249794.26830156508,2146862.7077172743,-23900.90730285148,286967.77201343514,-23371.685214324545
6886,1,web:web,,90,0.85,0.3541666666666667,0.2,9,27,22,-0.015,0.6227499999999999,3.0,0.0007950000000000023,-0.03,0.0,0.6094999999999999,0.636,3888.9465330665116,162877.6666164187,2076917.5714464197,1748.6273232946794,333026.1113745949,19166.196836715564
6887,1,web:web,,90,0.85,0.3541666666666667,0.2,10,27,22,0.015,0.6227499999999999,3.0,0.0007950000000000023,0.0,0.03,0.6094999999999999,0.636,-12001.150479071192,131901.37949600158,2015541.6880542238,1290.4346732348204,421542.3247217778,71304.195115267
6888,1,web:web,,90,0.85,0.3541666666666667,0.2,11,27,22,0.045,0.6227499999999999,3.0,0.0007950000000000023,0.03,0.06,0.6094999999999999,0.636,-19722.48846079025,96494.93778715108,1948634.520321528,-4486.220976375043,644812.7848938282,148123.4085105136
6889,0,flange:flange,,89,1.0,0.4166666666666667,0.2,0,28,22,-0.28500000000000003,0.651,3.0,0.0009,-0.3,-0.27,0.636,0.666,651.5470894654281,-477.0727675179951,3189406.572668196,93.14430842796962,-3577.1174543350935,33274.82085607946
6890,0,flange:flange,,89,1.0,0.4166666666666667,0.2,1,28,22,-0.255,0.651,3.0,0.0009000000000000016,-0.27,-0.24,0.636,0.666,2303.059666016139,249.98771828506142,3129921.545369472,-9.203530748685202,22715.378699563444,64054.926172581814
6891,0,flange:flange,,89,1.0,0.4166666666666667,0.2,2,28,22,-0.22499999999999998,0.651,3.0,0.0009000000000000007,-0.24,-0.21,0.636,0.666,4619.555628434406,309.97046177391894,3070424.8512281026,-84.41876028974852,31137.659721585613,66549.55438517034
6892,0,flange:flange,,89,1.0,0.4166666666666667,0.2,3,28,22,-0.195,0.651,3.0,0.0009000000000000007,-0.21,-0.18,0.636,0.666,6616.044096150086,142.211099389242,3011126.079102374,252.4005841712157,34975.94944677006,56835.474824147925
6893,0,flange:flange,,89,1.0,0.4166666666666667,0.2,4,28,22,-0.16499999999999998,0.651,3.0,0.0009000000000000007,-0.18,-0.15,0.636,0.666,6907.95334120607,-948.3586453272728,2951849.202186229,1793.6130438248317,37268.31857614219,40602.13624000549
6894,0,flange:flange,,89,1.0,0.4166666666666667,0.2,5,28,22,-0.135,0.651,3.0,0.0009000000000000007,-0.15,-0.12,0.636,0.666,3631.2016500596656,512.0405546763213,2893067.6287508137,4574.587606092295,40517.861175897226,18548.307446067534
6895,0,flange:flange,,89,1.0,0.4166666666666667,0.2,6,28,22,-0.105,0.651,3.0,0.0009000000000000007,-0.12,-0.09,0.636,0.666,-1810.7899215754587,-3736.6499378095614,2833653.8486224287,5985.5281764268875,47081.17160651833,-13825.011951103806
6896,0,flange:flange,,89,1.0,0.4166666666666667,0.2,7,28,22,-0.075,0.651,3.0,0.0009000000000000007,-0.09,-0.06,0.636,0.666,11889.752635686891,75593.72662409325,2795220.314638098,-34129.075176119804,105116.5901988124,-80097.14937837175
6897,0,flange:flange,,89,1.0,0.4166666666666667,0.2,8,28,22,-0.045,0.651,3.0,0.0009000000000000007,-0.06,-0.03,0.636,0.666,-5306.462474225205,170607.90846391703,2753291.6321481927,-1999.942474414905,203194.86766505986,-58889.405880868435
6898,0,flange:flange,,89,1.0,0.4166666666666667,0.2,9,28,22,-0.015,0.651,3.0,0.0009000000000000007,-0.03,0.0,0.636,0.666,-22616.50414858421,170045.17434015468,2691008.5666637328,20921.92833006382,276620.9310674295,8389.773704173665
6899,0,flange:flange,,89,1.0,0.4166666666666667,0.2,10,28,22,0.015,0.651,3.0,0.0009000000000000007,0.0,0.03,0.636,0.666,-37888.97141322063,141341.45959174068,2620821.956027564,16333.523729791244,343565.7631925742,90086.43119876584
6900,0,flange:flange,,89,1.0,0.4166666666666667,0.2,11,28,22,0.045,0.651,3.0,0.0009000000000000007,0.03,0.06,0.636,0.666,-53643.23923491547,89398.65614962467,2542206.0206189007,17462.95225997766,372945.4272557671,261921.83790436637
6901,0,flange:flange,,89,1.0,0.4166666666666667,0.2,12,28,22,0.074,0.651,3.0,0.0008400000000000007,0.06,0.088,0.636,0.666,-79809.9762306899,22976.569620341994,2458988.4138914775,7206.179342865944,216799.60904428115,481092.4106883755
6902,0,flange:flange,,89,1.0,0.4166666666666667,0.2,13,28,22,0.10200000000000001,0.651,3.0,0.0008400000000000011,0.088,0.116,0.636,0.666,-70970.24483793718,239.62568828224903,2392028.8216958195,-3381.6898817320666,58082.06191654007,357862.5755504395
6903,0,flange:flange,,89,1.0,0.4166666666666667,0.2,14,28,22,0.13,0.651,3.0,0.0008400000000000011,0.116,0.14400000000000002,0.636,0.666,-57558.88989534014,-305.4103962930967,2329359.464321617,-1960.8222681780658,41424.38472580165,309566.6363332793
