element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d,sigma_zz_csf,tau_x_csf,tau_y_csf,potential_triangle_hits,sigma_zz_error,tau_x_error,tau_y_error
6714,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,25,0,22,0.4361111111111111,-0.105,3.0,0.0008333333333333337,0.4222222222222222,0.45,-0.12,-0.09,-321.378473007353,-38.65395686856937,-2194419.5482324837,-141.14445939660072,24674.580613967653,16260.752239140373,-2333056.3063807623,-4973.759249242334,598.5990984396387,2,-138636.75814827858,-21234.511488382705,-24075.981515528016
6715,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,0,1,22,-0.28500000000000003,-0.075,3.0,0.0008999999999999991,-0.3,-0.27,-0.09,-0.06,192.96084843878634,-169.2210862368811,-2987655.339875284,-724.4502312491338,-74955.99792195018,16095.794131247327,-2788642.065383763,6701.869893387975,1979.963604887844,6,199013.27449152106,-9393.924237859352,76935.96152683803
6716,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,1,1,22,-0.255,-0.075,3.0,0.0009000000000000007,-0.27,-0.24,-0.09,-0.06,1075.8367541150656,-50.80708759755362,-3009183.870127457,-1458.7044111266732,-32771.78893281116,45528.1667762408,-2828371.475378998,20113.62683777853,2238.4865501024765,6,180812.3947484591,-25414.539938462272,35010.27548291364
6717,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,2,1,22,-0.22499999999999998,-0.075,3.0,0.0009,-0.24,-0.21,-0.09,-0.06,2440.868683245033,-42.677496967604384,-3031516.969140694,-1764.2280519679189,-12974.817140616788,67530.73079350716,-2868100.885374234,33441.116280523,2935.271256636104,6,163416.08376645995,-34089.61451298416,15910.088397252892
6718,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,3,1,22,-0.195,-0.075,3.0,0.0009,-0.21,-0.18,-0.09,-0.06,4116.331178155611,48.43770753184799,-3054461.8188843383,-1924.7453706959884,-3543.617049759875,84936.82848363463,-2907830.295369469,46462.394253276456,4507.456476320564,6,146631.52351486916,-38474.43423035817,8051.0735260804395
6719,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,4,1,22,-0.16499999999999998,-0.075,3.0,0.0009,-0.18,-0.15,-0.09,-0.06,5951.672220414272,194.20201301330235,-3077941.9940270963,-1993.7409367809694,2468.123268748013,99940.76746275152,-2947559.705364705,58653.79375583156,7891.154244287406,6,130382.28866239125,-41286.97370691996,5423.030975539394
6720,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,5,1,22,-0.135,-0.075,3.0,0.0009,-0.15,-0.12,-0.09,-0.06,7855.300487561268,-510.2465068871388,-3102089.9701467855,-2086.075059781472,9368.529289900016,112793.03436430886,-2987289.11535994,68698.65647885793,14880.980501754784,6,114800.85478684539,-44094.37788545093,5512.451211854768
6721,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,6,1,22,-0.105,-0.075,3.0,0.0009,-0.12,-0.09,-0.09,-0.06,11024.086211131886,-2683.443093773676,-3126649.7459994573,-648.3947267532349,20388.025180116918,121044.65974057931,-3027018.5253551756,73258.58180190613,28133.500687721444,6,99631.22064428171,-47786.07793867319,7745.475507604526
6722,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,7,1,22,-0.075,-0.075,3.0,0.0009,-0.09,-0.06,-0.09,-0.06,13682.24957548827,-5356.0091216341825,-3151515.66008252,3899.4016155873737,36980.273105244465,120236.05043169856,-3066747.935350411,65409.97234420577,48686.535439828054,6,84767.72473210888,-54826.07808749279,11706.26233458359
6723,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,8,1,22,-0.045,-0.075,3.0,0.0009,-0.06,-0.03,-0.09,-0.06,14744.834655860788,-5763.256777301547,-3175861.093542809,10795.960974261165,57510.43827044747,105059.60298638916,-3106477.3453456466,38671.15319107484,70163.05697937626,6,69383.74819716252,-66388.44979531431,12652.618708928785
6724,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,9,1,22,-0.015,-0.075,3.0,0.0009,-0.03,0.0,-0.09,-0.06,12351.291954286862,-2111.723214281141,-3199104.445530723,16688.17428370565,76900.45931191898,72994.44888496617,-3146206.7553408826,-3135.1138965658224,83208.69335221531,6,52897.69018984027,-76129.56278153199,6308.234040296331
6725,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,10,1,22,0.015,-0.075,3.0,0.0009,0.0,0.03,-0.09,-0.06,7325.676997556933,4090.003527991241,-3220798.4118051757,16980.872891577583,87269.10865593827,26224.631924284004,-3185936.1653361176,-50419.72239318434,84507.67841315038,6,34862.2464690581,-76644.35431746834,-2761.4302427878865
6726,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,11,1,22,0.045,-0.075,3.0,0.0009,0.03,0.06,-0.09,-0.06,3118.059357592603,8153.097920098458,-3240907.301824685,10923.00632831951,82861.85220490303,-23755.052439467363,-3225665.5753313536,-94282.97544645928,73234.65413514174,6,15241.726493331604,-70527.92300699191,-9627.198069761289
6727,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,12,1,22,0.074,-0.075,3.0,0.0008399999999999999,0.06,0.088,-0.09,-0.06,2079.300835939124,7763.640936458483,-3259040.9261224866,3358.087140187621,65576.11332921404,-62776.92380880627,-3264070.671660081,-123750.61730757341,51379.32304947155,2,-5029.745537594426,-60973.69349876714,-14196.79027974249
6728,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,13,1,22,0.10200000000000001,-0.075,3.0,0.0008400000000000003,0.088,0.116,-0.09,-0.06,1957.9117467910983,4273.299393979134,-3276013.9092049934,-1853.2150803655386,44428.256502063945,-81714.78852757346,-3301151.454322301,-132532.18682224242,32183.000754467528,2,-25137.545117307454,-50817.398294668965,-12245.255747596417
