case,title,N,component,point,rms_error_mm,max_abs_error_mm,x_over_L_at_max_error,local_baseline_rms_mm,baseline_kind,spike_score,fem3d_component_peak_mm,flagged,severity,response
bending_lagrange,Bending half-wave - Lagrange,16,uy,center,0.000347223175959,0.000577628468454,0.55,2.73619459494e-05,adjacent,12.6900029918,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uy,center,5.44752170471e-05,0.000104766739832,0.3,0.000229378392324,adjacent,0.237490621916,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uy,center,0.000111533608689,0.000205780561821,0.35,5.44752170471e-05,previous_3,2.04741926209,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uy,plus,5.97518545258e-05,9.8870900976e-05,0.85,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uy,plus,6.51631241402e-05,0.000109590296041,0.8,8.42629504117e-05,adjacent,0.773330672874,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,plus,0.000108774046298,0.00023745713808,0.7,7.28788209352e-05,adjacent,1.49253301442,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uy,plus,8.05945177303e-05,0.000146329186225,0.4,0.000182502800927,adjacent,0.4416070182,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uy,plus,0.000256231555556,0.000691029323308,0.05,8.05945177303e-05,previous_3,3.17926780595,0.0361966649507,True,LOW,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uy,minus,2.59196183488e-05,4.0166460938e-05,0.45,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uy,minus,2.12988520881e-05,4.2814124114e-05,0.85,0.000356454685922,adjacent,0.0597519205926,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,minus,0.000686989753495,0.00115615047194,0.4,9.86666999983e-05,adjacent,6.96273163598,0.0361966649507,True,MEDIUM,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uy,minus,0.000176034547908,0.000401378435091,0.2,0.00044901839486,adjacent,0.392043065325,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uy,minus,0.000211047036225,0.00061871488353,0.1,0.000176034547908,previous_3,1.19889555052,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uy,bottom_mid,1.59050590258e-09,2.32071787811e-09,0.55,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uy,bottom_mid,4.50700041273e-07,7.62363340692e-07,0.75,0.000309092374282,adjacent,0.0014581402803,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,bottom_mid,0.000618183158057,0.0010192736463,0.55,6.46626083411e-05,adjacent,9.56013334316,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uy,bottom_mid,0.000128874516641,0.000192351463536,0.4,0.000422251200187,adjacent,0.305208171306,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uy,bottom_mid,0.000226319242317,0.000412396248736,0.45,0.000128874516641,previous_3,1.75612097889,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uz,center,0.0144945420866,0.0204741345685,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uz,center,0.0203748223012,0.0289648948985,0.55,0.0182932182646,adjacent,1.11379102389,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uz,center,0.0220918944426,0.0316465136185,0.55,0.0215613610718,adjacent,1.02460574585,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uz,center,0.0227478998425,0.0324402205485,0.55,0.0227552917927,adjacent,0.999675154673,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uz,center,0.0234186891428,0.0334008626085,0.55,0.0220918944426,previous_3,1.06005798659,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uz,plus,0.0145493327548,0.020514744952,0.5,,none,,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uz,plus,0.020403280224,0.0289778737782,0.55,0.0182781267774,adjacent,1.11626757339,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
