CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.112663971139e-03  3.152693183377e-02  3.915118801915e-02
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         7.148028836351e-03  -1.109117526627e-01  -1.478958161141e-02
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    6.989295653584e-05  -1.107844500851e-01  -2.780557678261e-05
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.127320961653e-04  -6.964270342088e-02  1.372075239019e-04
 0.25     2.500000000000e+02  -3.062500000000e+01  6.937500000000e+01  plus          1.338831959838e-03  3.950665575161e-02  4.963885588976e-02
 0.25     2.500000000000e+02  1.156250000000e+01  -4.625000000000e+01  minus         6.280842396485e-03  -1.426791063407e-01  -1.902153374778e-02
 0.25     2.500000000000e+02  0.000000000000e+00  -4.625000000000e+01  bottom_mid    6.733384826067e-05  -1.423202263230e-01  3.098860763295e-05
 0.30     3.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.222516700618e-05  -8.337275809407e-02  2.051169630622e-04
 0.30     3.000000000000e+02  -3.015000000000e+01  6.825000000000e+01  plus          1.345949156974e-03  4.638172183983e-02  5.910813882535e-02
 0.30     3.000000000000e+02  1.137500000000e+01  -4.550000000000e+01  minus         5.418788009019e-03  -1.702163090769e-01  -2.258660911766e-02
 0.30     3.000000000000e+02  0.000000000000e+00  -4.550000000000e+01  bottom_mid    9.899580049363e-05  -1.697525774817e-01  9.101051218457e-05
 0.35     3.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        6.212505336095e-05  -9.505722032350e-02  2.651358368430e-04
 0.35     3.500000000000e+02  -2.967500000000e+01  6.712500000000e+01  plus          1.283762002258e-03  5.230801715447e-02  6.733461640343e-02
 0.35     3.500000000000e+02  1.118750000000e+01  -4.475000000000e+01  minus         4.535675696485e-03  -1.934895059989e-01  -2.553044010912e-02
 0.35     3.500000000000e+02  0.000000000000e+00  -4.475000000000e+01  bottom_mid    1.366988770130e-04  -1.929520878755e-01  1.119128663147e-04
 0.40     4.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        2.537354629609e-05  -1.046977210087e-01  3.135677502613e-04
 0.40     4.000000000000e+02  -2.920000000000e+01  6.600000000000e+01  plus          1.309408007620e-03  5.739270498258e-02  7.413102169035e-02
 0.40     4.000000000000e+02  1.100000000000e+01  -4.400000000000e+01  minus         3.607071304745e-03  -2.127976173650e-01  -2.797886610383e-02
 0.40     4.000000000000e+02  0.000000000000e+00  -4.400000000000e+01  bottom_mid    1.102025039476e-04  -2.121977600851e-01  1.170561005186e-04
 0.45     4.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.495125956421e-05  -1.122790244980e-01  3.481385464679e-04
 0.45     4.500000000000e+02  -2.872500000000e+01  6.487500000000e+01  plus          1.362566633996e-03  6.144491468062e-02  7.941755844118e-02
 0.45     4.500000000000e+02  1.081250000000e+01  -4.325000000000e+01  minus         2.662781783117e-03  -2.281666005960e-01  -2.997417432762e-02
 0.45     4.500000000000e+02  0.000000000000e+00  -4.325000000000e+01  bottom_mid    1.361866958874e-05  -2.275508392785e-01  1.448499968072e-04
 0.50     5.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -5.577616078256e-05  -1.176398791782e-01  3.675344370407e-04
 0.50     5.000000000000e+02  -2.825000000000e+01  6.375000000000e+01  plus          1.320351209366e-03  6.412424962558e-02  8.306669234993e-02
 0.50     5.000000000000e+02  1.062500000000e+01  -4.250000000000e+01  minus         1.697665119838e-03  -2.391577385086e-01  -3.144467470951e-02
 0.50     5.000000000000e+02  0.000000000000e+00  -4.250000000000e+01  bottom_mid    -8.953429864350e-05  -2.385664974280e-01  1.974836694257e-04
