z,polygon_idx,polygon_name,sigma_min,vertex_index_min,x_min,y_min,sigma_max,vertex_index_max,x_max,y_max,sigma_extreme,vertex_index_extreme,x_extreme,y_extreme
0.000000000000e+00,69,5_2_S,3.471958626854e+07,3,-1.187561725615e-01,-8.490603995684e-02,4.274193250336e+07,11,-1.207070757816e-01,-7.509818715281e-02,4.274193250336e+07,11,-1.207070757816e-01,-7.509818715281e-02
0.000000000000e+00,70,6_2_S,6.967997623931e+05,2,-7.902666194474e-02,-1.246355505736e-01,8.719145997215e+06,10,-8.097756516490e-02,-1.148276977696e-01,8.719145997215e+06,10,-8.097756516490e-02,-1.148276977696e-01
0.000000000000e+00,71,7_2_S,-1.917413612554e+07,1,-2.711755476024e-02,-1.461370067801e-01,-1.115178989072e+07,9,-2.906845798040e-02,-1.363291539760e-01,-1.917413612554e+07,1,-2.711755476024e-02,-1.461370067801e-01
0.000000000000e+00,72,8_2_S,-2.186805153680e+07,0,2.906845798040e-02,-1.461370067801e-01,-1.384570530198e+07,8,2.711755476024e-02,-1.363291539760e-01,-2.186805153680e+07,0,2.906845798040e-02,-1.461370067801e-01
0.000000000000e+00,73,9_2_S,-6.974822270434e+06,15,8.097756516490e-02,-1.246355505736e-01,1.047523964388e+06,7,7.902666194474e-02,-1.148276977696e-01,-6.974822270434e+06,15,8.097756516490e-02,-1.246355505736e-01
0.000000000000e+00,74,10_2_S,2.323819252522e+07,14,1.207070757816e-01,-8.490603995684e-02,3.126053876004e+07,6,1.187561725615e-01,-7.509818715281e-02,3.126053876004e+07,6,1.187561725615e-01,-7.509818715281e-02
0.000000000000e+00,75,11_2_S,6.417133522917e+07,13,1.422085319881e-01,-3.299693277234e-02,7.219368146399e+07,5,1.402576287680e-01,-2.318907996831e-02,7.219368146399e+07,5,1.402576287680e-01,-2.318907996831e-02
0.000000000000e+00,76,12_2_S,1.095929059246e+08,12,1.422085319881e-01,2.318907996831e-02,1.176152521594e+08,4,1.402576287680e-01,3.299693277234e-02,1.176152521594e+08,4,1.402576287680e-01,3.299693277234e-02
0.000000000000e+00,77,13_2_S,1.525878822207e+08,11,1.207070757816e-01,7.509818715281e-02,1.606102284556e+08,3,1.187561725615e-01,8.490603995684e-02,1.606102284556e+08,3,1.187561725615e-01,8.490603995684e-02
0.000000000000e+00,78,14_2_S,1.866106687269e+08,10,8.097756516490e-02,1.148276977696e-01,1.946330149617e+08,2,7.902666194474e-02,1.246355505736e-01,1.946330149617e+08,2,7.902666194474e-02,1.246355505736e-01
0.000000000000e+00,79,15_2_S,2.064816046148e+07,9,2.906845798040e-02,1.363291539760e-01,2.145039508496e+07,1,2.711755476024e-02,1.461370067801e-01,2.145039508496e+07,1,2.711755476024e-02,1.461370067801e-01
1.000000000000e+00,0,0_1_C,3.121266703242e+07,17,-4.056444383070e-02,9.793123044620e-02,3.515474329274e+07,2,-6.280662313910e-03,1.278458183943e-01,3.515474329274e+07,2,-6.280662313910e-03,1.278458183943e-01
1.000000000000e+00,1,1_1_C,2.825237994332e+07,17,-7.495331880577e-02,7.495331880577e-02,3.415759695226e+07,0,-4.898347934273e-02,1.182565801614e-01,3.415759695226e+07,0,-4.898347934273e-02,1.182565801614e-01
1.000000000000e+00,2,2_1_C,2.358259146707e+07,17,-9.793123044620e-02,4.056444383070e-02,3.058291065598e+07,0,-9.050966799188e-02,9.050966799188e-02,3.058291065598e+07,0,-9.050966799188e-02,9.050966799188e-02
1.000000000000e+00,3,3_1_C,1.791423456745e+07,17,-1.060000000000e-01,1.298125607096e-17,2.494392079788e+07,0,-1.182565801614e-01,4.898347934273e-02,2.494392079788e+07,0,-1.182565801614e-01,4.898347934273e-02
1.000000000000e+00,4,4_1_C,1.109054568129e+07,16,-1.182565801614e-01,-4.898347934273e-02,1.809911246626e+07,0,-1.280000000000e-01,1.567547902909e-17,1.809911246626e+07,0,-1.280000000000e-01,1.567547902909e-17
1.000000000000e+00,5,5_1_C,4.985211203153e+06,16,-9.050966799188e-02,-9.050966799188e-02,1.211026519865e+07,33,-9.793123044620e-02,-4.056444383070e-02,1.211026519865e+07,33,-9.793123044620e-02,-4.056444383070e-02
1.000000000000e+00,6,6_1_C,7.125908611545e+05,16,-4.898347934273e-02,-1.182565801614e-01,7.054285083942e+06,33,-7.495331880577e-02,-7.495331880577e-02,7.054285083942e+06,33,-7.495331880577e-02,-7.495331880577e-02
1.000000000000e+00,7,7_1_C,-1.076847629037e+06,16,-2.351321854363e-17,-1.280000000000e-01,3.516021363224e+06,33,-4.056444383070e-02,-9.793123044620e-02,3.516021363224e+06,33,-4.056444383070e-02,-9.793123044620e-02
1.000000000000e+00,8,8_1_C,-1.107824819068e+06,2,6.280662313909e-03,-1.278458183943e-01,2.834251441249e+06,17,4.056444383070e-02,-9.793123044620e-02,2.834251441249e+06,17,4.056444383070e-02,-9.793123044620e-02
1.000000000000e+00,9,9_1_C,-1.106784785896e+05,0,4.898347934273e-02,-1.182565801614e-01,5.794538530352e+06,17,7.495331880577e-02,-7.495331880577e-02,5.794538530352e+06,17,7.495331880577e-02,-7.495331880577e-02
1.000000000000e+00,10,10_1_C,3.464007817686e+06,0,9.050966799188e-02,-9.050966799188e-02,1.046432700660e+07,17,9.793123044620e-02,-4.056444383070e-02,1.046432700660e+07,17,9.793123044620e-02,-4.056444383070e-02
1.000000000000e+00,11,11_1_C,9.102997675794e+06,0,1.182565801614e-01,-4.898347934273e-02,1.613268390621e+07,17,1.060000000000e-01,-2.596251214192e-17,1.613268390621e+07,17,1.060000000000e-01,-2.596251214192e-17
1.000000000000e+00,12,12_1_C,1.594780600741e+07,0,1.280000000000e-01,-3.135095805817e-17,2.295637279238e+07,16,1.182565801614e-01,4.898347934273e-02,2.295637279238e+07,16,1.182565801614e-01,4.898347934273e-02
1.000000000000e+00,13,13_1_C,2.193665327502e+07,33,9.793123044620e-02,4.056444383070e-02,2.906170727052e+07,16,9.050966799188e-02,9.050966799188e-02,2.906170727052e+07,16,9.050966799188e-02,9.050966799188e-02
1.000000000000e+00,14,14_1_C,2.699263338973e+07,33,7.495331880577e-02,7.495331880577e-02,3.333432761251e+07,16,4.898347934273e-02,1.182565801614e-01,3.333432761251e+07,16,4.898347934273e-02,1.182565801614e-01
1.000000000000e+00,15,15_1_C,3.053089711044e+07,33,4.056444383070e-02,9.793123044620e-02,3.512376610271e+07,16,3.918869757272e-17,1.280000000000e-01,3.512376610271e+07,16,3.918869757272e-17,1.280000000000e-01
1.000000000000e+00,16,0_2_CH,3.415759695226e+06,17,-4.898347934273e-02,1.182565801614e-01,3.827105773985e+06,2,-7.360151149113e-03,1.498193184308e-01,3.827105773985e+06,2,-7.360151149113e-03,1.498193184308e-01
1.000000000000e+00,17,1_2_CH,3.058291065598e+06,17,-9.050966799188e-02,9.050966799188e-02,3.710252687210e+06,0,-5.740251485476e-02,1.385819298767e-01,3.710252687210e+06,0,-5.740251485476e-02,1.385819298767e-01
1.000000000000e+00,18,2_2_CH,2.494392079788e+07,17,-1.182565801614e-01,4.898347934273e-02,3.291344136865e+07,0,-1.060660171780e-01,1.060660171780e-01,3.291344136865e+07,0,-1.060660171780e-01,1.060660171780e-01
1.000000000000e+00,19,3_2_CH,1.809911246626e+07,17,-1.280000000000e-01,1.567547902909e-17,2.630525012868e+07,0,-1.385819298767e-01,5.740251485476e-02,2.630525012868e+07,0,-1.385819298767e-01,5.740251485476e-02
1.000000000000e+00,20,4_2_CH,1.007082616393e+07,16,-1.385819298767e-01,-5.740251485476e-02,1.828399036507e+07,0,-1.500000000000e-01,1.836970198721e-17,1.828399036507e+07,0,-1.500000000000e-01,1.836970198721e-17
1.000000000000e+00,21,5_2_CH,2.916137322364e+06,16,-1.060660171780e-01,-1.060660171780e-01,1.109054568129e+07,33,-1.182565801614e-01,-4.898347934273e-02,1.109054568129e+07,33,-1.182565801614e-01,-4.898347934273e-02
1.000000000000e+00,22,6_2_CH,-2.090839640916e+06,16,-5.740251485476e-02,-1.385819298767e-01,4.985211203153e+06,33,-9.050966799188e-02,-9.050966799188e-02,4.985211203153e+06,33,-9.050966799188e-02,-9.050966799188e-02
1.000000000000e+00,23,7_2_CH,-4.187837871608e+06,16,-2.755455298082e-17,-1.500000000000e-01,7.125908611545e+05,33,-4.898347934273e-02,-1.182565801614e-01,-4.187837871608e+06,16,-2.755455298082e-17,-1.500000000000e-01
1.000000000000e+00,24,8_2_CH,-4.224139266176e+06,2,7.360151149113e-03,-1.498193184308e-01,-1.106784785896e+05,17,4.898347934273e-02,-1.182565801614e-01,-4.224139266176e+06,2,7.360151149113e-03,-1.498193184308e-01
1.000000000000e+00,25,9_2_CH,-3.055608398428e+06,0,5.740251485476e-02,-1.385819298767e-01,3.464007817686e+06,17,9.050966799188e-02,-9.050966799188e-02,3.464007817686e+06,17,9.050966799188e-02,-9.050966799188e-02
1.000000000000e+00,26,10_2_CH,1.133477105020e+06,0,1.060660171780e-01,-1.060660171780e-01,9.102997675794e+06,17,1.182565801614e-01,-4.898347934273e-02,9.102997675794e+06,17,1.182565801614e-01,-4.898347934273e-02
1.000000000000e+00,27,11_2_CH,7.741668344990e+06,0,1.385819298767e-01,-5.740251485476e-02,1.594780600741e+07,17,1.280000000000e-01,-3.135095805817e-17,1.594780600741e+07,17,1.280000000000e-01,-3.135095805817e-17
1.000000000000e+00,28,12_2_CH,1.576292810860e+07,0,1.500000000000e-01,-3.673940397442e-17,2.397609230974e+07,16,1.385819298767e-01,5.740251485476e-02,2.397609230974e+07,16,1.385819298767e-01,5.740251485476e-02
1.000000000000e+00,29,13_2_CH,2.295637279238e+07,33,1.182565801614e-01,4.898347934273e-02,3.113078115131e+07,16,1.060660171780e-01,1.060660171780e-01,3.113078115131e+07,16,1.060660171780e-01,1.060660171780e-01
1.000000000000e+00,30,14_2_CH,2.906170727052e+07,33,9.050966799188e-02,9.050966799188e-02,3.613775811458e+07,16,5.740251485476e-02,1.385819298767e-01,3.613775811458e+07,16,5.740251485476e-02,1.385819298767e-01
1.000000000000e+00,31,15_2_CH,3.333432761251e+06,33,4.898347934273e-02,1.182565801614e-01,3.823475634528e+06,16,4.592425496803e-17,1.500000000000e-01,3.823475634528e+06,16,4.592425496803e-17,1.500000000000e-01
1.000000000000e+00,32,0_3_C,3.710252687210e+06,17,-5.740251485476e-02,1.385819298767e-01,4.138737218695e+06,2,-8.439639984316e-03,1.717928184673e-01,4.138737218695e+06,2,-8.439639984316e-03,1.717928184673e-01
1.000000000000e+00,33,1_3_C,3.291344136865e+06,17,-1.060660171780e-01,1.060660171780e-01,4.004745679194e+06,0,-6.582155036680e-02,1.589072795919e-01,4.004745679194e+06,0,-6.582155036680e-02,1.589072795919e-01
1.000000000000e+00,34,2_3_C,2.630525012868e+07,17,-1.385819298767e-01,5.740251485476e-02,3.524397208132e+07,0,-1.216223663641e-01,1.216223663641e-01,3.524397208132e+07,0,-1.216223663641e-01,1.216223663641e-01
1.000000000000e+00,35,3_3_C,1.828399036507e+07,17,-1.500000000000e-01,1.836970198721e-17,2.766657945948e+07,0,-1.589072795919e-01,6.582155036680e-02,2.766657945948e+07,0,-1.589072795919e-01,6.582155036680e-02
